condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C2_KeyboardLike,45,1.0,,1.5233827221672982,,1
C3_MediumA,1,,,,,1
C3_MediumA,2,,,,,1
C3_MediumA,3,0.0,,,,1
C3_MediumA,4,0.0,,,,1
C3_MediumA,5,0.0,,,,1
C3_MediumA,6,0.0,,,,1
C3_MediumA,7,0.0,,,,1
C3_MediumA,8,0.0,,,,1
C3_MediumA,9,0.0,,,,1
C3_MediumA,10,0.0,,,,1
C3_MediumA,11,0.1111111111111111,,,,1
C3_MediumA,12,0.2222222222222222,,1.7160418500425294,,1
C3_MediumA,13,0.3333333333333333,,1.8667741334065795,,1
C3_MediumA,14,0.4444444444444444,,1.7013967000530101,,1
C3_MediumA,15,0.5555555555555556,,1.5907086400315165,,1
C3_MediumA,16,0.5555555555555556,,1.5907086400315165,,1
C3_MediumA,17,0.6666666666666666,,1.7473267333504434,,1
C3_MediumA,18,0.7777777777777778,,1.7434305000185435,,1
C3_MediumA,19,0.7777777777777778,,1.7434305000185435,,1
C3_MediumA,20,0.7777777777777778,,1.6235799571565752,,1
C3_MediumA,21,0.6666666666666666,,1.6335220166947693,,1
C3_MediumA,22,0.6666666666666666,,1.528874733330061,,1
C3_MediumA,23,0.6666666666666666,,1.974333016667515,,1
C3_MediumA,24,0.6666666666666666,,2.0191857166743525,,1
C3_MediumA,25,0.7777777777777778,,1.8904586857118244,,1
C3_MediumA,26,0.7777777777777778,,1.658071185728269,,1
C3_MediumA,27,0.7777777777777778,,1.5852370285761677,,1
C3_MediumA,28,0.8888888888888888,,1.511968375009019,,1
C3_MediumA,29,0.8888888888888888,,1.519031587493373,,1
C3_MediumA,30,1.0,,1.4607282666644703,,1
C3_MediumA,31,1.0,,1.403876311119853,,1
C3_MediumA,32,1.0,,1.0604577666510724,,1
C3_MediumA,33,1.0,,1.2771933999999117,,1
C3_MediumA,34,1.0,,1.2835024889144633,,1
C3_MediumA,35,1.0,,1.6271841555782076,,1
C3_MediumA,36,1.0,,1.8368234111306567,,1
C3_MediumA,37,1.0,,1.813059555573596,,1
C3_MediumA,38,1.0,,1.8265496222561017,,1
C3_MediumA,39,1.0,,1.9937017222659454,,1
C3_MediumA,40,1.0,,2.0332288555800915,,1
C3_MediumA,41,1.0,,2.0663258000535683,,1
C3_MediumA,42,1.0,,1.9028319556059108,,1
C3_MediumA,43,1.0,,1.879517100027038,,1
C4_MediumB,1,,,,,1
C4_MediumB,2,,,,,1
C4_MediumB,3,0.3333333333333333,,,,1
